Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Armenia,ARM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,0
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999
Armenia,ARM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,54,57,59,64,69,92,75,72,71,68,61,55,53,60,57,50
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,60.88,60.79,60.74,60.74,60.78,60.86,60.98,61.14,60.96,61.95,64.76,66.24,66.58,66.89,66.18,65.46
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,30.6,29.1,27.7,26.3,25,23.7,22.5,21.4,20.3,19.2,18.3,17.3,16.4,15.6,14.8,14.1
Armenia,ARM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.075707442,0.075540822,0.075452466,0.075393764,0.069702155,0.064025825,0.058365731,0.052721077,0.047092496,0.041479516,0.035882412,0.030301184,0.024735834,0.019181538,0.013632583,0.011358461
Armenia,ARM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,79.8840243,80.00290747,80.12921005,80.25843291,80.38827188,80.51869292,80.6497671,80.78142981,80.91373904,81.04664328,81.18016973,81.79551015,82.41306782,83.03306749,83.63866051,84.12902976
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,36.79644697,36.79644697,36.79644697,36.79644697,36.79644697,37.06872924,37.06872924,37.06872924,37.06872924,37.06872924,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,98.66372681,102.1300507,95.37493896,94.19893646,94.92137146,95.44106293,100.1557999,113.2876205,114.5186768,110.8467789,99.06498718,98.4758606,98.91773987,98.44946289,96.86598969,95.00364685
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.1519928,88.28202057,0,0,89.34573364,92.05428314,94.94132996,96.42764282,94.97048187,100.125618,104.7133179,93.13488007,0,85.89755249,85.88350677,86.00588989
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,35.54978943,33.54529953,36.14685822,37.2188797,37.88314056,39.54676819,43.11534882,45.93093872,48.48933029,51.33459091,52.989151,53.33778,46.15803146,45.73738861,47.08219147,46.52180099
Armenia,ARM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,14.57699966,13.94400024,13.30900002,12.61299992,11.8380003,11.18700027,10.4659996,9.767000198,15.0170002,19.68899918,21.29199982,19.64999962,18.17900085,18.1420002,19.46800041,19.25600052
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.04800034,10.9119997,10.77600002,10.59399986,10.34399986,10.20300007,9.996999741,9.81000042,14.39299965,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023
